group,z_true,n_questions,correct_diagnosis,hamming
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|probability_statistics,13,False,1
valide (z_true dans Z),algebra_linear|arithmetic_base|geometry|probability_statistics,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base,20,True,0
valide (z_true dans Z),algebra_linear|probability_statistics,15,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,14,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,27,False,1
valide (z_true dans Z),arithmetic_base,17,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,25,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,21,True,0
valide (z_true dans Z),arithmetic_base|geometry,14,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry,23,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry,17,True,0
valide (z_true dans Z),algebra_linear,13,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,19,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry,15,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|probability_statistics,18,True,0
valide (z_true dans Z),(vide),21,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear,11,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry,19,True,0
valide (z_true dans Z),algebra_linear|probability_statistics,30,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry,14,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,15,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,19,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|probability_statistics,20,False,1
valide (z_true dans Z),probability_statistics,26,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios,13,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,28,False,2
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,17,True,0
valide (z_true dans Z),probability_statistics,8,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|geometry|probability_statistics,28,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|geometry,20,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry,10,True,0
valide (z_true dans Z),arithmetic_base|geometry|probability_statistics,17,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,21,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,17,True,0
valide (z_true dans Z),algebra_linear|probability_statistics,12,False,1
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry,18,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,14,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base,25,True,0
