policy,z_seed,question_index,longueur_arc_cumulee
adaptatif,26,18,11.488784
adaptatif,26,19,11.920137
adaptatif,26,20,12.731293
adaptatif,26,21,13.300237
adaptatif,26,22,14.233957
adaptatif,26,23,14.569493
adaptatif,26,24,15.328260
adaptatif,26,25,16.274152
adaptatif,26,26,16.856542
adaptatif,26,27,17.044429
adaptatif,26,28,17.231189
adaptatif,26,29,17.398039
adaptatif,26,30,17.499589
adaptatif,27,0,0.000000
adaptatif,27,1,0.870585
adaptatif,27,2,1.496332
adaptatif,27,3,2.111886
adaptatif,27,4,2.901821
adaptatif,27,5,3.865514
adaptatif,27,6,4.324158
adaptatif,27,7,4.763070
adaptatif,27,8,5.370725
adaptatif,27,9,5.963634
adaptatif,27,10,6.752043
adaptatif,27,11,7.254295
adaptatif,27,12,7.565680
adaptatif,27,13,8.000788
adaptatif,27,14,8.428554
adaptatif,27,15,8.933822
adaptatif,27,16,9.562247
adaptatif,27,17,10.106080
adaptatif,27,18,10.458386
adaptatif,27,19,10.717567
adaptatif,27,20,11.480975
adaptatif,27,21,12.424922
adaptatif,27,22,12.968383
adaptatif,28,0,0.000000
adaptatif,28,1,0.870585
adaptatif,28,2,1.660520
adaptatif,28,3,2.286267
adaptatif,28,4,2.901821
adaptatif,28,5,3.400948
adaptatif,28,6,4.017887
adaptatif,28,7,4.480003
adaptatif,28,8,5.446761
adaptatif,28,9,6.408089
adaptatif,28,10,6.912297
adaptatif,28,11,7.536933
adaptatif,28,12,8.097449
adaptatif,28,13,8.804954
adaptatif,28,14,9.185087
adaptatif,28,15,9.620195
adaptatif,28,16,10.051549
adaptatif,28,17,10.331561
adaptatif,28,18,10.641178
adaptatif,29,0,0.000000
adaptatif,29,1,0.600697
adaptatif,29,2,1.390632
adaptatif,29,3,2.180567
adaptatif,29,4,2.679694
adaptatif,29,5,3.296633
adaptatif,29,6,3.795760
adaptatif,29,7,4.624653
adaptatif,29,8,5.086769
adaptatif,29,9,5.514975
adaptatif,29,10,5.904837
adaptatif,29,11,6.336191
adaptatif,29,12,6.758838
adaptatif,29,13,7.180136
adaptatif,29,14,7.460149
adaptatif,29,15,7.711304
adaptatif,29,16,7.958449
adaptatif,30,0,0.000000
adaptatif,30,1,0.600697
adaptatif,30,2,1.226444
adaptatif,30,3,1.841998
adaptatif,30,4,2.631933
adaptatif,30,5,3.131060
adaptatif,30,6,3.959954
adaptatif,30,7,4.418597
adaptatif,30,8,4.857509
adaptatif,30,9,5.817220
adaptatif,30,10,6.533435
adaptatif,30,11,6.923298
adaptatif,30,12,7.345945
adaptatif,30,13,7.767243
adaptatif,30,14,8.026424
adaptatif,30,15,8.279968
adaptatif,30,16,8.527112
adaptatif,31,0,0.000000
adaptatif,31,1,0.870585
adaptatif,31,2,1.496332
adaptatif,31,3,2.329735
adaptatif,31,4,3.119670
adaptatif,31,5,3.643566
adaptatif,31,6,4.142693
adaptatif,31,7,4.759632
adaptatif,31,8,5.221747
adaptatif,31,9,6.107080
adaptatif,31,10,6.714830
adaptatif,31,11,7.156277
adaptatif,31,12,7.591386
adaptatif,31,13,8.022739
adaptatif,31,14,8.528167
adaptatif,31,15,9.234722
adaptatif,31,16,9.514735
adaptatif,31,17,9.820007
adaptatif,32,0,0.000000
adaptatif,32,1,0.600697
adaptatif,32,2,1.390632
adaptatif,32,3,2.180567
adaptatif,32,4,2.679694
adaptatif,32,5,3.508587
adaptatif,32,6,4.472280
adaptatif,32,7,5.431991
adaptatif,32,8,6.061140
adaptatif,32,9,6.599172
adaptatif,32,10,7.206828
adaptatif,32,11,7.799737
adaptatif,32,12,8.425722
adaptatif,32,13,8.917344
adaptatif,32,14,9.857056
adaptatif,32,15,10.485043
adaptatif,32,16,10.987295
adaptatif,32,17,11.333425
adaptatif,32,18,11.644810
